date,value
2019-05-07,S-Class
2019-04-07,Grand Marquis
2019-05-21,Sunbird
2019-05-20,F350
2019-04-28,Daewoo Lacetti
2019-05-27,Safari
2019-04-10,Azera
2019-05-12,Camaro
2019-05-09,Ranger
2019-04-08,6 Series
2019-04-22,4Runner
2019-04-24,430
2019-05-25,Altima
2019-05-10,MKX
2019-04-07,Q5
2019-05-30,S4
2019-05-23,Monte Carlo
2019-05-12,DB9
2019-04-26,Wrangler
2019-04-03,Town & Country
2019-05-22,SX4
2019-04-12,LS
2019-05-08,3 Series
2019-04-20,Sunfire
2019-04-02,Charger
2019-05-30,Silhouette
2019-04-02,Passat
2019-05-15,Viper
2019-05-27,ES
2019-05-10,Neon
2019-04-27,F-250 Super Duty
2019-04-12,Milan
2019-05-24,Mighty Max Macro
2019-04-14,STS
2019-05-30,Grand Marquis
2019-04-28,Silverado 2500
2019-04-28,LX
2019-05-17,CR-V
2019-04-08,LeMans
2019-05-20,Beretta
2019-04-10,RX
2019-05-21,Montero
2019-04-22,Nubira
2019-05-21,Arnage
2019-04-25,Astro
2019-05-01,9-5
2019-05-13,DeVille
2019-05-23,Durango
2019-05-08,Rio
2019-04-01,Thunderbird
2019-04-15,3500
2019-05-16,Windstar
2019-04-10,Cabriolet
2019-05-21,Intrepid
2019-04-14,Sonoma
2019-04-05,Seville
2019-04-26,Escalade EXT
2019-05-01,Legacy
2019-05-22,Vandura 3500
2019-04-12,IS
2019-04-02,Savana 3500
2019-05-26,New Yorker
2019-04-26,Marquis
2019-04-21,928
2019-04-07,DBS
2019-04-27,Intrepid
2019-04-05,Bonneville
2019-04-01,Windstar
2019-04-17,Mazda5
2019-05-25,911
2019-05-25,9-3
2019-05-10,6 Series
2019-05-18,Accord
2019-05-26,E-Series
2019-05-21,E-Series
2019-04-23,Sierra 1500
2019-04-13,Insight
2019-04-05,Ram Wagon B350
2019-04-11,CR-V
2019-05-11,Continental
2019-04-30,Quest
2019-04-08,C30
2019-04-25,6 Series
2019-04-29,GS
2019-04-11,Beretta
2019-04-26,E-Series
2019-05-06,Suburban 2500
2019-04-11,Tracer
2019-05-24,Ram Van B150
2019-05-28,Venza
2019-05-03,Oasis
2019-05-05,Riviera
2019-04-20,Allante
2019-04-07,B-Series
2019-04-22,Bronco
2019-04-03,1500
2019-04-27,Laser
2019-05-01,Eclipse
2019-05-15,Rodeo
2019-05-16,Passat
2019-05-12,GS
2019-04-19,Continental Mark VII
2019-04-09,Sonata
2019-04-09,Explorer
2019-05-21,X5
2019-05-11,Stratus
2019-05-28,Silverado 1500
2019-05-12,Tacoma
2019-05-05,E350
2019-04-30,Insight
2019-05-25,Durango
2019-05-20,Yukon
2019-04-16,Tiburon
2019-05-29,F-Series
2019-04-17,Suburban 1500
2019-04-18,Astro
2019-05-24,Navigator
2019-04-12,Spyder
2019-05-15,GTO
2019-04-19,Tacoma Xtra
2019-05-29,Savana 3500
2019-04-13,Explorer
2019-04-14,Miata MX-5
2019-05-08,Toronado
2019-04-21,Passport
2019-04-23,3 Series
2019-04-09,Neon
2019-04-30,Z4
2019-05-30,TT
2019-05-22,Regal
2019-04-30,Silverado 1500
2019-05-29,Metro
2019-04-03,CX
2019-05-03,Century
2019-04-11,Aspire
2019-04-29,Mountaineer
2019-05-22,Thunderbird
2019-04-01,F-Series
2019-05-22,Mini
2019-05-29,Probe
2019-04-17,Envoy XUV
2019-04-20,Bonneville
2019-04-11,Pathfinder Armada
2019-04-29,M-Class
2019-05-30,Eclipse
2019-05-11,Ram 2500
2019-04-26,Versa
2019-05-29,G3
2019-04-21,Taurus
2019-05-20,Dakota Club
2019-05-17,F430
2019-04-04,Outback
2019-04-12,Firebird
2019-05-15,Prowler
2019-04-20,Quest
2019-05-30,Yukon XL 1500
2019-04-02,Electra
2019-04-03,Econoline E350
2019-05-06,Accent
2019-04-24,F350
2019-05-18,NSX
2019-04-15,Navigator
2019-04-03,MDX
2019-05-18,TT
2019-04-14,E150
2019-04-01,S2000
2019-04-14,7 Series
2019-05-30,Caprice
2019-05-29,Firebird
2019-04-21,Quest
2019-04-27,Acclaim
2019-04-27,Impala
2019-04-26,Ram 1500 Club
2019-05-07,HS
2019-05-07,Z3
2019-05-10,Eurovan
2019-04-19,xA
2019-04-21,Dakota
2019-05-17,M
2019-05-22,Camaro
2019-04-08,Civic
2019-05-18,Murciélago
2019-05-03,Sebring
2019-04-19,Truck
2019-04-02,A8
2019-05-30,Ranger
2019-04-11,Firefly
2019-04-16,Nitro
2019-04-23,X3
2019-05-01,Sephia
2019-05-25,Regal
2019-04-14,Ram 1500
2019-05-10,Express 1500
2019-04-23,Cabriolet
2019-05-24,Diamante
2019-05-19,Ion
2019-04-06,MX-6
2019-05-24,1 Series
2019-05-24,SC
2019-05-16,Altima
2019-04-11,Yukon
2019-04-28,Econoline E250
2019-04-08,Capri
2019-04-18,M3
2019-04-25,Sierra 1500
2019-04-22,M-Class
2019-05-28,Excursion
2019-05-14,Avalon
2019-04-29,S80
2019-05-06,M-Class
2019-05-10,MKT
2019-05-21,IS
2019-05-15,Yukon
2019-04-24,Ram 3500 Club
2019-05-28,Echo
2019-05-28,Express 3500
2019-04-06,D250 Club
2019-05-21,RX Hybrid
2019-05-14,Escalade ESV
2019-05-28,Sidekick
2019-05-26,Highlander
2019-04-28,Panamera
2019-04-20,Journey
2019-04-07,Genesis Coupe
2019-05-07,Park Avenue
2019-04-08,Avalanche
2019-04-28,Ram 50
2019-04-23,X5
2019-05-22,Land Cruiser
2019-05-02,Ram Van 2500
2019-05-17,Regal
2019-05-29,2500
2019-04-06,E150
2019-05-16,Axiom
2019-05-17,9-3
2019-04-29,S4
2019-05-07,Alcyone SVX
2019-05-02,STS
2019-05-20,Safari
2019-04-05,Trans Sport
2019-05-27,G37
2019-04-24,Grand Am
2019-05-06,Allroad
2019-04-11,Grand Marquis
2019-05-10,EXP
2019-05-19,Concorde
2019-04-26,C-Class
2019-05-08,Exige
2019-04-17,Silverado 1500
2019-04-03,Econoline E350
2019-04-20,Cutlass
2019-04-14,Odyssey
2019-04-19,Expedition
2019-05-15,Caravan
2019-04-21,Caravan
2019-04-25,Grand Cherokee
2019-05-18,MX-5
2019-04-01,Intrigue
2019-05-19,APV
2019-04-19,Solara
2019-05-19,Versa
2019-04-02,Mustang
2019-05-29,Firebird
2019-04-04,Pajero
2019-05-16,Q5
2019-04-22,Corvette
2019-05-23,Sable
2019-05-16,Thunderbird
2019-04-16,XT
2019-04-16,3 Series
2019-04-25,CR-V
2019-04-08,LS
2019-04-23,Civic
2019-05-30,Sedona
2019-04-19,Sonata
2019-05-01,Aura
2019-05-28,626
2019-05-20,NSX
2019-05-19,2500
2019-05-16,Navigator L
2019-04-20,6000
2019-04-18,XJ Series
2019-05-14,Continental GTC
2019-04-17,Montero Sport
2019-04-02,Mazda5
2019-04-22,Corvette
2019-05-20,VS Commodore
2019-05-24,Leone
2019-04-13,3500
2019-04-14,RL
2019-05-25,Spirit
2019-04-29,Frontier
2019-04-06,Grand Am
2019-04-13,Paseo
2019-05-27,G
2019-04-08,Tracer
2019-05-10,XL-7
2019-04-29,Land Cruiser
2019-05-14,2500 Club Coupe
2019-04-30,Grand Prix
2019-05-07,DB9
2019-05-14,Bronco
2019-04-09,Milan
2019-04-22,C-Class
2019-04-03,V70
2019-04-21,Monte Carlo
2019-05-08,F150
2019-05-02,Bronco
2019-05-09,9-7X
2019-04-07,SL-Class
2019-05-06,Hombre Space
2019-04-26,LX
2019-04-29,Accord
2019-05-24,C70
2019-05-09,Mustang
2019-10-21,Aquamarine
2019-12-17,Pink
2020-02-09,Mauv
2019-10-18,Fuscia
2019-12-26,Goldenrod
2020-02-09,Turquoise
2020-02-07,Fuscia
2020-02-03,Khaki
2020-02-13,Mauv
2020-01-06,Turquoise
2020-02-11,Puce
2020-01-01,Blue
2019-11-13,Aquamarine
2020-01-03,Goldenrod
2020-02-25,Pink
2019-11-05,Maroon
2020-01-20,Blue
2019-11-24,Teal
2020-01-24,Turquoise
2019-11-12,Turquoise
2020-02-18,Mauv
2020-02-17,Aquamarine
2020-01-24,Orange
2019-12-15,Mauv
2019-11-06,Maroon
2020-02-21,Khaki
2019-10-07,Fuscia
2020-02-02,Fuscia
2020-02-04,Indigo
2019-12-05,Teal
2020-01-05,Pink
2019-10-12,Maroon
2019-10-13,Maroon
2019-12-06,Blue
2019-12-16,Violet
2019-10-15,Green
2019-10-14,Pink
2019-11-10,Blue
2019-11-02,Puce
2019-10-13,Goldenrod
2019-10-03,Goldenrod
2020-01-28,Crimson
2019-10-21,Maroon
2019-11-27,Turquoise
2020-01-11,Crimson
2019-12-25,Khaki
2019-11-20,Yellow
2020-02-03,Pink
2020-01-09,Mauv
2020-02-18,Aquamarine
2019-10-04,Puce
2020-01-12,Pink
2019-12-24,Violet
2019-12-05,Maroon
2020-01-26,Fuscia
2020-02-25,Green
2019-11-10,Fuscia
2020-01-05,Violet
2019-10-23,Crimson
2019-11-19,Khaki
2019-11-24,Maroon
2019-12-14,Crimson
2019-12-19,Blue
2019-10-10,Green
2019-10-21,Green
2019-11-19,Green
2019-11-03,Purple
2020-01-15,Mauv
2019-11-01,Puce
2020-02-11,Khaki
2020-01-25,Violet
2020-01-25,Purple
2019-11-22,Khaki
2020-02-20,Purple
2019-10-24,Fuscia
2019-10-05,Pink
2020-01-07,Crimson
2019-10-30,Purple
2019-11-20,Orange
2020-01-21,Mauv
2020-02-10,Crimson
2020-01-23,Fuscia
2019-12-30,Maroon
2019-11-02,Blue
2019-11-29,Yellow
2019-12-15,Pink
2020-02-24,Crimson
2019-10-10,Khaki
2020-02-02,Turquoise
2020-02-04,Khaki
2020-02-21,Yellow
2020-02-11,Khaki
2020-02-05,Teal
2019-11-10,Indigo
2020-02-17,Violet
2019-12-22,Pink
2020-01-29,Fuscia
2019-10-25,Aquamarine
2019-11-03,Orange
2019-10-15,Orange
2019-11-24,Crimson
2020-02-22,Khaki
2019-11-07,Aquamarine
2019-10-23,Orange
2019-10-26,Violet
2019-11-26,Crimson
2019-10-23,Blue
2019-12-27,Fuscia
2019-12-29,Indigo
2020-02-17,Puce
2019-10-27,Violet
2020-01-23,Crimson
2020-01-02,Pink
2019-10-20,Fuscia
2019-10-01,Purple
2019-11-19,Pink
2020-01-13,Teal
2019-12-25,Green
2020-02-11,Mauv
2019-10-18,Green
2019-10-27,Teal
2020-01-01,Puce
2019-11-04,Mauv
2020-01-10,Pink
2020-02-21,Violet
2020-01-05,Yellow
2019-11-30,Goldenrod
2019-10-01,Maroon
2020-01-17,Orange
2019-11-12,Purple
2020-01-26,Violet
2019-10-28,Green
2020-01-25,Mauv
2020-02-22,Teal
2020-01-12,Maroon
2019-12-27,Violet
2020-02-21,Khaki
2019-10-02,Violet
2019-11-06,Puce
2019-10-21,Goldenrod
2019-12-22,Red
2019-11-10,Turquoise
2019-10-01,Violet
2019-11-13,Yellow
2019-10-14,Violet
2019-12-05,Pink
2020-02-14,Purple
2020-02-25,Pink
2019-11-11,Violet
2020-01-16,Mauv
2019-12-05,Blue
2019-12-31,Goldenrod
2019-11-17,Turquoise
2019-10-28,Khaki
2020-02-03,Fuscia
2020-01-23,Puce
2019-11-16,Fuscia
2019-11-30,Khaki
2020-01-14,Aquamarine
2020-02-24,Crimson
2020-01-11,Indigo
2019-10-24,Fuscia
2019-10-31,Green
2019-11-12,Violet
2020-01-23,Puce
2019-12-21,Orange
2019-10-17,Maroon
2019-10-13,Blue
2020-01-27,Mauv
2019-10-01,Puce
2020-01-04,Aquamarine
2019-11-08,Maroon
2019-11-15,Goldenrod
2019-11-03,Mauv
2020-02-22,Crimson
2019-10-24,Mauv
2019-10-30,Aquamarine
2019-10-24,Turquoise
2020-02-15,Maroon
2020-01-17,Green
2019-11-11,Teal
2020-01-24,Fuscia
2020-02-25,Khaki
2019-12-27,Maroon
2019-11-25,Mauv
2019-10-27,Goldenrod
2019-11-10,Green
2020-01-19,Purple
2020-02-10,Puce
2019-12-04,Goldenrod
2019-10-19,Pink
2020-01-01,Mauv
2019-12-30,Green
2019-12-11,Fuscia
2019-11-24,Goldenrod
2019-10-01,Blue
2019-10-25,Goldenrod
2019-10-03,Orange
2019-11-27,Pink
2020-01-01,Turquoise
2020-02-18,Red
2019-10-07,Crimson
2020-02-17,Green
2020-01-02,Turquoise
2019-12-31,Aquamarine
2019-12-24,Yellow
2019-10-23,Pink
2020-01-18,Aquamarine
2020-01-20,Puce
2019-12-29,Yellow
2019-11-26,Pink
2019-12-22,Goldenrod
2020-01-25,Goldenrod
2020-01-30,Maroon
2019-11-06,Turquoise
2019-10-03,Khaki
2019-11-24,Maroon
2020-01-03,Purple
2019-10-15,Green
2020-02-17,Violet
2020-01-20,Green
2019-11-03,Puce
2019-10-29,Yellow
2019-12-22,Goldenrod
2019-10-18,Turquoise
2020-01-31,Maroon
2019-11-08,Pink
2019-11-01,Crimson
2020-01-06,Indigo
2020-01-06,Aquamarine
2019-10-11,Crimson
2019-11-06,Pink
2020-01-11,Teal
2019-10-02,Puce
2020-02-08,Indigo
2019-10-25,Red
2020-02-18,Maroon
2020-02-05,Violet
2019-11-12,Green
2019-10-06,Violet
2019-10-24,Maroon
2020-02-03,Khaki
2019-12-18,Goldenrod
2019-10-04,Teal
2020-02-04,Teal
2019-10-09,Pink
2019-11-17,Violet
2019-10-30,Fuscia
2020-02-11,Khaki
2019-11-10,Pink
2019-11-13,Violet
2020-01-04,Fuscia
2019-11-21,Crimson
2020-02-18,Mauv
2020-01-27,Blue
2020-02-03,Indigo
2019-10-21,Aquamarine
2020-02-11,Maroon
2020-02-13,Indigo
2020-01-05,Yellow
2019-11-04,Pink
2020-02-24,Blue
2019-11-22,Indigo
2019-12-24,Green
2020-02-04,Purple
2020-01-01,Violet
2020-02-10,Blue
2020-01-10,Violet
2019-10-14,Goldenrod
2020-02-17,Violet
2020-01-01,Turquoise
2019-10-06,Indigo
2020-02-10,Teal
2019-10-12,Violet
2019-10-04,Maroon
2019-12-08,Purple
2019-10-09,Teal
2019-11-18,Mauv
2019-11-07,Fuscia
2019-11-25,Green
2020-01-20,Turquoise
2019-12-08,Teal
2019-12-18,Violet
2019-11-10,Mauv
2019-12-17,Pink
2019-12-02,Goldenrod
2020-02-18,Green
2020-01-15,Orange
2019-11-01,Red
2020-01-28,Blue
2019-11-25,Crimson
2019-10-08,Crimson
2019-11-03,Green
2020-02-25,Mauv
2019-10-02,Khaki
2020-02-10,Purple
2019-12-31,Red
2019-12-26,Khaki
2020-01-21,Blue
2019-12-24,Maroon
2019-10-03,Puce
2019-12-01,Fuscia
2019-12-31,Goldenrod
2019-11-07,Mauv
2020-01-06,Violet
2020-01-27,Yellow
2019-10-07,Red
2019-11-23,Aquamarine
2019-12-16,Khaki
2020-01-19,Turquoise
2019-12-26,Orange
2020-02-09,Khaki
2019-10-22,Green
2020-01-17,Blue
2020-01-30,Aquamarine
2020-01-30,Red
2019-12-27,Indigo
2019-12-16,Aquamarine
2020-01-06,Red
2019-12-09,Pink
2019-12-21,Orange
2019-11-05,Aquamarine
2019-10-27,Aquamarine
2019-12-29,Yellow
2019-11-13,Teal
2020-02-23,Goldenrod
2019-11-09,Teal
2019-12-11,Blue
2020-02-04,Indigo
2020-02-14,Teal
2019-12-05,Aquamarine
2019-12-17,Crimson
2020-01-31,Purple
2020-02-24,Pink
2019-11-09,Turquoise
2019-10-29,Crimson
2019-12-16,Blue
2019-12-14,Khaki
2020-02-19,Teal
2020-02-02,Violet
2020-01-22,Turquoise
2020-02-23,Pink
2019-12-27,Pink
2019-11-07,Violet
2020-01-18,Maroon
2019-11-28,Purple
2020-01-08,Mauv
2019-10-24,Goldenrod
2020-01-13,Red
2019-12-12,Mauv
2020-01-02,Blue
2019-11-01,Mauv
2019-12-24,Crimson
2019-11-27,Goldenrod
2020-02-13,Pink
2019-12-30,Goldenrod
2019-12-01,Blue
2020-02-12,Yellow
2019-10-26,Crimson
2019-10-23,Khaki
2019-11-05,Indigo
2019-10-06,Indigo
2019-11-16,Maroon
2019-10-23,Crimson
2019-11-14,Indigo
2019-11-21,Fuscia
2019-12-04,Turquoise
2019-11-21,Red
2019-10-24,Crimson
2020-02-20,Purple
2020-01-01,Pink
2020-02-22,Red
2020-02-08,Orange
2020-01-25,Violet
2020-02-16,Pink
2020-02-04,Green
2019-10-25,Teal
2019-12-06,Puce
2019-10-08,Crimson
2019-11-13,Indigo
2020-01-18,Indigo
2020-01-22,Violet
2020-01-04,Orange
2020-02-12,Violet
2020-01-24,Teal
2020-01-22,Purple
2019-11-15,Khaki
2019-12-23,Violet
2019-11-23,Teal
2019-12-04,Goldenrod
2019-12-14,Violet
2019-12-22,Maroon
2019-11-28,Blue
2019-11-26,Pink
2020-02-14,Red
2020-01-06,Khaki
2019-10-15,Teal
2019-12-22,Fuscia
2020-01-02,Red
2020-01-28,Fuscia
2019-11-28,Turquoise
2020-02-06,Goldenrod
2020-02-05,Blue
2020-02-09,Mauv
2019-12-07,Turquoise
2019-11-12,Puce
2019-10-25,Pink
2019-12-16,Turquoise
2020-01-04,Aquamarine
2019-10-29,Pink
2020-02-14,Aquamarine
2019-11-21,Goldenrod
2019-12-07,Mauv
2020-02-24,Yellow
2019-10-11,Orange
2019-11-07,Blue
2020-02-05,Aquamarine
2019-11-23,Fuscia
2020-02-22,Red
2019-10-17,Green
2019-11-17,Mauv
2020-01-27,Khaki
2019-10-24,Red
2019-11-14,Goldenrod
2019-11-18,Goldenrod
2020-01-08,Pink
2020-02-02,Turquoise
2020-01-09,Crimson
2020-01-12,Orange
2019-12-14,Goldenrod
2019-11-24,Fuscia
2020-01-10,Green
2019-10-13,Puce
2019-12-02,Green
2019-11-11,Maroon
2020-02-09,Indigo
2020-01-11,Pink
2019-11-12,Goldenrod
2019-12-05,Khaki
2019-11-20,Purple
2019-10-17,Red
2019-12-07,Turquoise
2019-10-07,Fuscia
2019-10-14,Turquoise
2020-01-04,Orange
2019-12-11,Aquamarine
2019-12-06,Violet
2019-11-08,Red
2019-11-15,Red
2019-10-24,Fuscia
2019-12-12,Fuscia
2020-02-10,Purple
2019-12-03,Green
2019-11-19,Purple
2020-02-23,Red
2019-12-25,Aquamarine
2019-12-21,Red
2020-02-09,Fuscia
2019-11-15,Purple
2019-12-18,Violet
2020-02-22,Yellow
2019-11-24,Green
2020-01-26,Green
2019-11-17,Fuscia
2019-11-20,Purple
2019-11-18,Khaki
2020-02-11,Fuscia
2019-12-03,Indigo
2019-12-03,Crimson
2020-02-20,Crimson
2019-11-29,Puce
2020-01-03,Pink
2020-02-18,Maroon
2020-01-27,Fuscia
2020-01-29,Yellow
2020-01-27,Indigo
2019-10-28,Green
2019-10-26,Crimson
2019-12-01,Aquamarine
2019-10-16,Purple
2019-12-26,Teal
2019-11-12,Green
2019-11-08,Yellow
2020-01-19,Pink
2020-02-24,Fuscia
2019-11-17,Goldenrod
2019-12-03,Aquamarine
2019-10-01,Violet
2019-10-27,Red
2019-10-16,Red
2019-10-13,Violet
2020-01-29,Violet
2020-02-11,Puce
2019-11-03,Mauv
2020-02-19,Maroon
2019-10-08,Purple
2020-01-17,Turquoise
2020-01-28,Goldenrod
2019-10-03,Pink
2020-02-25,Khaki
2019-10-15,Purple
2019-12-01,Yellow
2019-10-03,Turquoise
2019-10-02,Pink
2019-12-22,Blue
2020-02-11,Crimson
2020-01-21,Green
2020-02-21,Maroon
2019-12-23,Maroon
2019-12-10,Fuscia
2019-11-05,Indigo
2020-01-08,Mauv
2019-12-15,Aquamarine
2020-02-12,Fuscia
2019-10-02,Mauv
2019-10-07,Mauv
2020-02-08,Green
2020-01-06,Khaki
2020-01-25,Turquoise
2020-02-25,Teal
2020-01-23,Goldenrod
2019-10-28,Teal
2020-02-14,Fuscia
2020-02-04,Red
2020-02-05,Teal
2019-11-03,Blue
2019-12-14,Pink
2020-01-25,Purple
2019-12-18,Goldenrod
2020-01-23,Crimson
2020-01-09,Aquamarine
2019-10-13,Violet
2020-02-08,Red
2019-11-13,Teal
2019-10-23,Violet
2019-12-25,Goldenrod
2019-11-09,Indigo
2020-02-04,Aquamarine
2019-11-28,Yellow
2019-11-08,Puce
2019-11-11,Maroon
2020-02-03,Mauv
2019-12-03,Purple
2019-11-30,Maroon
2019-12-26,Crimson
2019-11-09,Turquoise
2019-11-20,Teal
2019-10-22,Blue
2020-02-09,Crimson
2020-02-11,Indigo
2019-12-18,Maroon
2019-10-15,Crimson
2020-01-03,Khaki
2020-01-15,Red
2019-12-30,Blue
2019-10-06,Puce
2020-01-14,Blue
2019-10-26,Purple
2019-10-12,Indigo
2019-11-17,Blue
2020-02-07,Turquoise
2019-12-09,Indigo
2019-12-28,Maroon
2019-12-06,Goldenrod
2020-02-20,Mauv
2019-12-14,Indigo
2019-10-15,Khaki
2020-02-20,Indigo
2019-10-10,Violet
2019-11-15,Purple
2019-11-11,Aquamarine
2019-10-30,Puce
2019-10-07,Fuscia
2020-02-20,Crimson
2019-12-30,Goldenrod
2020-01-05,Fuscia
2020-01-20,Purple
2020-02-11,Fuscia
2020-01-03,Goldenrod
2019-12-24,Orange
2020-02-16,Crimson
2019-11-08,Pink
2020-01-05,Mauv
2019-10-22,Purple
2020-02-25,Indigo
2020-02-19,Crimson
2020-01-30,Green
2020-02-19,Aquamarine
2020-02-06,Turquoise
2019-10-06,Turquoise
2020-01-22,Indigo
2019-11-30,Red
2020-01-20,Indigo
2020-02-07,Pink
2019-12-29,Puce
2019-12-08,Goldenrod
2019-11-19,Teal
2019-10-22,Turquoise
2019-11-13,Puce
2020-01-11,Yellow
2019-10-17,Goldenrod
2020-01-04,Yellow
2020-02-03,Pink
2019-11-10,Fuscia
2020-01-05,Red
2020-02-07,Green
2019-10-02,Aquamarine
2019-11-01,Crimson
2019-10-31,Khaki
2020-02-24,Puce
2019-12-02,Goldenrod
2019-10-03,Purple
2019-10-25,Purple
2020-02-03,Aquamarine
2020-02-02,Yellow
2019-11-26,Khaki
2020-02-24,Mauv
2020-02-03,Fuscia
2019-11-03,Blue
2019-10-18,Blue
2019-10-31,Maroon
2020-02-07,Green
2019-10-26,Maroon
2019-12-04,Khaki
2019-12-25,Purple
2020-02-18,Crimson
2019-10-20,Blue
2019-12-16,Maroon
2019-10-29,Pink
2019-10-20,Crimson
2019-11-30,Orange
2020-02-13,Khaki
2020-02-11,Teal
2019-11-12,Yellow
2019-11-13,Goldenrod
2019-11-04,Pink
2020-01-10,Teal
2020-02-18,Orange
2019-12-05,Teal
2020-01-12,Violet
2020-01-16,Teal
2019-10-29,Indigo
2019-11-24,Crimson
2019-12-19,Turquoise
2020-01-22,Orange
2019-11-01,Purple
2019-11-11,Goldenrod
2020-01-03,Crimson
2020-01-21,Pink
2019-10-02,Goldenrod
2019-12-13,Pink
2019-11-30,Turquoise
2020-02-17,Yellow
2019-11-20,Mauv
2019-12-07,Fuscia
2020-02-12,Green
2019-11-22,Fuscia
2020-01-15,Khaki
2019-11-05,Red
2020-02-03,Pink
2019-10-18,Turquoise
2019-10-01,Red
2019-10-27,Yellow
2020-01-08,Green
2019-10-14,Blue
2020-02-20,Turquoise
2019-10-01,Puce
2019-12-05,Maroon
2020-01-20,Khaki
2019-11-27,Khaki
2019-11-11,Red
2020-01-06,Purple
2019-10-06,Indigo
2020-01-30,Indigo
2019-12-11,Mauv
2020-01-17,Violet
2019-12-21,Green
2019-12-18,Yellow
2019-12-29,Mauv
2019-12-15,Puce
2019-11-16,Puce
2019-10-10,Goldenrod
2019-10-26,Teal
2020-01-05,Crimson
2020-01-22,Fuscia
2019-10-14,Red
2019-12-30,Crimson
2019-12-16,Aquamarine
2019-11-27,Aquamarine
2019-10-19,Puce
2019-10-19,Mauv
2020-02-22,Violet
2019-10-02,Red
2020-02-13,Red
2020-02-07,Puce
2020-01-29,Purple
2019-10-23,Khaki
2020-01-20,Pink
2019-12-03,Blue
2020-01-26,Orange
2020-01-16,Khaki
2019-10-25,Purple
2019-11-28,Yellow
2019-10-11,Violet
2019-12-23,Purple
2020-02-12,Red
2019-10-03,Purple
2019-12-31,Puce
2019-11-20,Green
2019-11-14,Purple
2020-01-16,Aquamarine
2019-12-27,Orange
2019-12-29,Aquamarine
2020-01-09,Maroon
2019-10-07,Violet
2019-12-25,Yellow
2019-11-07,Khaki
2019-12-10,Aquamarine
2019-12-25,Puce
2019-10-23,Orange
2019-11-01,Mauv
2020-01-06,Green
2019-12-13,Crimson
2019-12-05,Aquamarine
2020-01-26,Fuscia
2020-01-09,Mauv
2019-10-09,Orange
2020-01-04,Green
2020-01-17,Purple
2019-11-04,Turquoise
2020-02-24,Khaki
2019-11-13,Pink
2019-11-10,Maroon
2020-01-27,Indigo
2020-01-09,Teal
2019-12-11,Indigo
2019-11-20,Purple
2019-11-30,Green
2019-12-23,Mauv
2019-12-20,Puce
2020-01-25,Khaki
2020-02-24,Orange
2019-11-07,Crimson
2019-11-15,Aquamarine
2019-10-20,Yellow
2019-11-17,Goldenrod
2020-01-22,Turquoise
2019-10-22,Khaki
2019-12-12,Mauv
2019-11-05,Indigo
2020-01-13,Khaki
2020-02-06,Violet
2019-10-02,Fuscia
2019-10-06,Puce
2020-02-04,Yellow
2020-02-16,Pink
2020-02-14,Teal
2019-10-25,Crimson
2019-12-15,Mauv
2019-10-27,Aquamarine
2020-02-03,Turquoise
2019-11-01,Khaki
2019-12-05,Maroon
2020-01-05,Green
2019-12-30,Blue
2020-01-27,Teal
2019-10-30,Orange
2019-10-17,Maroon
2020-01-04,Turquoise
2020-02-10,Fuscia
2019-11-04,Puce
2019-12-17,Maroon
2019-12-05,Goldenrod
2019-12-21,Yellow
2019-11-06,Green
2020-01-06,Khaki
2020-02-07,Fuscia
2019-10-04,Indigo
2020-01-06,Red
2020-01-06,Mauv
2019-10-17,Pink
2019-12-27,Maroon
2019-10-15,Mauv
2019-10-19,Green
2019-11-08,Violet
2019-10-26,Mauv
2019-10-04,Orange
2020-01-10,Maroon
2020-01-12,Red
2019-12-15,Crimson
2019-12-04,Fuscia
2019-10-31,Indigo
2020-01-19,Turquoise
2019-10-26,Orange
2019-10-08,Indigo
2019-11-15,Puce
2019-10-19,Green
2019-10-14,Puce
2019-12-25,Green
2020-02-23,Orange
2019-12-30,Maroon
2019-10-25,Aquamarine
2019-11-19,Goldenrod
2019-11-21,Maroon
2019-12-02,Green
2019-11-02,Turquoise
2020-01-05,Indigo
2019-12-15,Mauv
2019-12-29,Khaki
2020-02-16,Khaki
2020-01-02,Yellow
2019-12-15,Puce
2019-11-30,Crimson
2019-12-05,Blue
2019-12-11,Fuscia
2019-11-10,Orange
2019-12-12,Aquamarine
2019-12-16,Teal
2020-01-19,Purple
2019-10-15,Green
2019-11-02,Indigo
2019-10-29,Red
2019-10-22,Mauv
2019-12-16,Green
2020-01-06,Goldenrod
2019-11-26,Aquamarine
2019-11-25,Mauv
2019-11-24,Purple
2019-12-14,Blue
2019-11-24,Crimson
2020-01-09,Aquamarine
2020-02-25,Indigo
2019-10-03,Pink
2020-01-31,Crimson
2020-01-29,Green
2020-01-11,Fuscia
2019-11-16,Fuscia
2019-12-17,Red
2019-11-01,Purple
2020-01-19,Maroon
2019-11-28,Indigo
2020-02-05,Turquoise
2019-10-11,Turquoise
2020-02-23,Puce
2019-10-14,Maroon
2019-12-19,Khaki
2020-02-09,Red
2019-11-13,Puce
2019-11-07,Fuscia
2019-12-20,Orange
2020-01-07,Orange
2020-01-22,Teal
2019-10-22,Yellow
2019-12-18,Yellow
2020-01-07,Pink
2020-02-02,Crimson
2019-11-17,Mauv
2020-01-19,Red
2019-10-21,Orange
2019-10-09,Khaki
2019-12-03,Fuscia
2019-12-02,Pink
2019-10-08,Puce
2020-01-30,Purple
2020-02-11,Goldenrod
